         3915 function calls (3905 primitive calls) in 0.006 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_compiler.py:573(_code)
      2/1    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_parser.py:512(_parse)
      344    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
       20    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
      3/1    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_compiler.py:37(_compile)
        1    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\__init__.py:331(_compile_template)
       20    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
  383/380    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_parser.py:996(parse_template)
        1    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_compiler.py:511(_compile_info)
       10    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
        2    0.000    0.000    0.000    0.000 C:\Python312\Lib\enum.py:1562(__and__)
       18    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_parser.py:261(get)
       16    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_parser.py:168(__getitem__)
        5    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_parser.py:372(_escape)
        1    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_parser.py:98(closegroup)
      4/2    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_parser.py:178(getwidth)
       21    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_parser.py:240(__next)
       59    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      2/1    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_compiler.py:436(_get_literal_prefix)
       38    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 C:\Python312\Lib\enum.py:726(__call__)
        6    0.000    0.000    0.000    0.000 C:\Python312\Lib\enum.py:1544(_get_value)
        1    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_compiler.py:243(_optimize_charset)
        2    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_parser.py:231(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_parser.py:1012(addgroup)
